vid,polnoe_naimenovanie,socrshenoe_naimenovanie,naimenovanie_ur_litca_ip,region,inn,ogrn_ogrnip,adres,telephon,email,sait,spectialist_po_classificatci,prisvoenay_categoriya,nomer_resheniya_o_prisvoenii_categorii,data_resheniya_o_prisvoenii_categorii,registratcionnyi_nomer_svidetelstva,data_vydachi_svidetelstva,srok_deistviya,acreditovanaya_organizatciya,categoria_1,kol_vo_nomerov_categoria_1,kol_vo_mest_categoria_1,categoria_2,kol_vo_nomerov_categoria_2,kol_vo_mest_categoria_2,categoria_3,kol_vo_nomerov_categoria_3,kol_vo_mest_categoria_3,itogo_nomerov
"загородный отель, туристская база, база отдыха","База отдыха ""Kamchatka Forest Lodge"" ООО ""Витязь плюс""","База отдыха ""Kamchatka Forest Lodge""","Общество с ограниченной ответственностью ""Витязь плюс""",Камчатский край,4101142094,1104101007218,"684000, Камчатский край, Елизовский район, Паратунское лесничество, выдел 3",8 (924) 586-53-28,Bogdan.kam@mail.ru,Kamchatka Forest Lodge.cjm,Полетаева Ирина Васильевна,без звёзд,21,14.10.2022,41/АА-162-2021/21-2022,17.10.2022,16.10.2025,"Союз ""Торгово-промышленная палата Камчатского края""",«Пятая»,6,14,,,,,,,14
"загородный отель, туристская база, база отдыха","Загородный отель ""SPA - отель Лагуна"" ООО ""Голубая Лагуна"",","Загородный отель ""SPA - отель Лагуна""","Общество с ограниченной ответственностью ""Голубая Лагуна""",Камчатский край,4105022915,1024101223332,"684034, Камчатский край, Елизовский район, ул. Невельского, д.6",8 (800) 222-58-03,info@bluelagoon.su,www.bluelagoon.su,Полетаева Ирина Васильевна,четыре звезды,20,26.09.2022,41/АА-162-2021/20-2022,27.09.2022,26.09.2025,"Союз ""Торгово-промышленная палата Камчатского края""",Высшая «сюит»,14,58,Высшая «джуниор сюит»,4,8,«Первая»,133,266,332
городская гостиница (отель),Гостиница «Фламинго» ООО «Фламинго»,Гостиница «Фламинго»,Общество с ограниченной ответственностью «Фламинго»,Камчатский край,4105026349,1024101224894,"Елизовский район, Паратунское шоссе 23 км. тер…",8(4152) 46-91-57,www.flamingo41.ru,www.flamingo-kamchatka.ru,О.М. Шахмалиева,без звёзд,220823-385-К/3,23.08.2022,25/АА-021-2022/390-2022,24.08.2022,23.08.2025,"Общество с ограниченной ответственностью ""Приморский центр сертификации""",Высшая «апартмент»,1,4,«Вторая»,26,80,«Третья»,5,30,114
городская гостиница (отель),"Городской отель ""Авача"" ОАО ""Гостиница ""Авача""","Городской отель ""Авача""","ОАО ""Гостиница ""Авача""",Камчатский край,4101007049,10244101015872,"683003, Камчатский край, г. Петропавловск - Камчатский, ул. Ленинградская,д.61",8 (415 2) 427-333,agaltsova.yulia@mail.ru,www.avachahotel.ru,Полетаева Ирина Васильевна,три звезды,15,03.08.2022,41/АА-162-2021/15-2022,03.08.2022,02.08.2025,"Союз ""Торгово-промышленная палата Камчатского края""",Высшая «апартмент»,2,4,Высшая «люкс»,9,18,«Первая»,86,120,142
"загородный отель, туристская база, база отдыха",Гостиница «Спутник-Камчатка» ООО «Спутник-Камчатка»,Гостиница «Спутник-Камчатка»,Общество с ограниченной ответственностью «Спутник-Камчатка»,Камчатский край,4101165863,1144101004629,"684034, Камчатский край, Елизовский район, с. Паратунка, ул. Елизова, д. 39",+79247800511,buh@sputnik-kamchatka.ru,,Леонова Олеся Николаевна,три звезды,1438/01,29.07.2022,78/АА-97/438-2022,29.07.2022,28.07.2025,"Общество с ограниченной ответственностью ""Фатум Эксперт""",Высшая «люкс»,1,2,«Первая»,42,84,,,,86
хостел,"Хостел  ""Камчатский"" ИП Иванов М.В.","Хостел ""Камчатский""",Индивидуальный предприниматель Иванов Максим Владимирович,Камчатский край,410105382509,322410000006480,"683016, Камчатский край, г. Петропавловск - Камчатский, ул. Пржевальского, д.17А",8 (909)- 835-88-14,ivanovmv2012@mail.ru,www.hostel-kamchatskiy@mail.ru,Полетаева Ирина Васильевна,одна звезда,17,02.08.2022,41/АА-162-2021/17-2022,03.08.2022,02.08.2025,"Союз ""Торгово-промышленная палата Камчатского края""",«Пятая»,6,30,,,,,,,30
"загородный отель, туристская база, база отдыха","Загородный отель «Геолог» ООО ""ГЕОЛОГ""",Загородный отель «Геолог»,"ООО ""ГЕОЛОГ""",Камчатский край,4100040413,1214100004040,"684300, Камчатский край, р-н Мильковский, с. Мильково, ул. Октябрьская, д.16",8 (800)-222-57-03,info@geolog-hotel.ru,https://geolog-hotel.ru/,Малиновская Елена Владимировна,без звёзд,623,01.08.2022,77/АА-139-2021/623-2022,01.08.2022,01.08.2025,"Общество с ограниченной ответственностью ""Эксперт Консалт Груп"" (ООО ""Эксперт Консалт Груп"")",«Первая»,32,64,,,,,,,64
городская гостиница (отель),"Городская гостиница ""Гейзер"" ООО ""Гейзер""","Городская гостиница ""Гейзер""","Общество с ограниченной ответственностью ""Гейзер""",Камчатский край,4101117690,1074101004889,"683023, Камчатский край, г. Петропавловск - Камчатский, ул. Топоркова, д.10",8 (415 2) 228-229,kam-gejzer@yandex.ru,www.geyzer-hotel.ru,Полетаева Ирина Васильевна,три звезды,14,18.07.2022,41/АА-162-2021/14-2022,19.07.2022,18.07.2025,"Союз ""Торгово-промышленная палата Камчатского края""",«Первая»,42,87,,,,,,,87
"загородный отель, туристская база, база отдыха",Гостиница «Начики»,Гостиница «Начики»,ООО «Санаторий Начикинский»,Камчатский край,4105029808,1064141003057,"684025, Камчатский край, Елизовский р-н, пос. Начики, ул. Санаторная, д. 17",+79146205111,Nachiki41@yandex.ru,nachiki41.ru,О.Н. Леонова,три звезды,1440/01,06.07.2022,78/АА-97/440-2022,06.07.2022,05.07.2025,"Общество с ограниченной ответственностью ""Фатум Эксперт""",«Первая»,55,110,,,,,,,110
"загородный отель, туристская база, база отдыха","Туристская база ""Тимоновский приют"" ООО ""Горячая земля""","Туристская база ""Тимоновский приют""","ООО ""Горячая земля""",Камчатский край,4105046754,1174101011810,,,,,Полетаева Ирина Васильевна,без звёзд,9,04.07.2022,41/АА-162-2021/9-2022,05.07.2022,04.07.2025,"Союз ""Торгово-промышленная палата Камчатского края""",Высшая «люкс»,3,6,«Первая»,8,16,,,,22
городская гостиница (отель),МИНИ-ОТЕЛЬ «ПЕЛИКЕН»\tИП Матвеев А.Д.,МИНИ-ОТЕЛЬ «ПЕЛИКЕН»\t,ИП Матвеев Алексей Дмитриевич,Камчатский край,410126520862,322410000004541,"683042, Камчатский край, г. Петропавловск-Камчатский, ш. Восточное, д. 7/6",+7 415 233-02-45,hotelpeliken@mail.ru,hotelpeliken.ru,Ковальчук П.О.,без звёзд,1168,30.06.2022,78/АА-46/1168-2022,30.06.2022,29.06.2025,"Общество с ограниченной ответственностью ""Бюро классификации и экспертизы""",«Первая»,10,20,,,,,,,20
"загородный отель, туристская база, база отдыха","Загородный отель ""Гостевая усадьба Кантри"" ИП Мазур Е.В.","Загородный отель ""Гостевая усадьба Кантри""",Индивидуальный предприниматель Мазур Елена Валерьевна,Камчатский край,410100221843,304410128800138,"684037, Камчатский край, Елизовский район, с. Паратунка, ул. Нагорная, д.7",8 (415 31) 22-53-59,mazurelena2014@mail.ru,kantri-hotel-kamchatka@mail.ru,Полетаева Ирина Васильевна,две звезды,12,29.06.2022,41/АА-162-2021/12-2022,29.06.2022,28.06.2025,"Союз ""Торгово-промышленная палата Камчатского края""",Высшая «джуниор сюит»,2,4,«Первая»,10,20,«Вторая»,3,6,30
городская гостиница (отель),Отель «SOPKA» ИП   Плотникова Л.В.,Отель «SOPKA»,Индивидуальный предприниматель   Плотникова Лариса Викторовна,Камчатский край,290128371065,313410102200022,"684000, Камчатский край,  г. Петропавловск-Камчатский,   ул. Магистральная, д. 12А",89004430949,Sopkahotel@bk.ru,,О.М. Шахмалиева,без звёзд,220608-368-К /3,28.06.2022,25/АА-021-2022/376-2022,28.06.2022,27.06.2025,"Общество с ограниченной ответственностью ""Приморский центр сертификации""",«Первая»,19,32,,,,,,,32
городская гостиница (отель),"Городская гостиница ""Полуостров"" ИП Смирнов Р.Я.","Городская гостиница ""Полуостров""",Индивидуальный предприниматель Смирнов Роман Яковлевич,Камчатский край,772400271482,304770000609081,"683023, Камчатский край, г. Петропавловск - Камчатский, ул. Абеля, д.41",8 914 994 57 57,poluostrovkam@mail.ru,poluostrov-hotel.ru,Полетаева Ирина Васильевна,две звезды,10,24.06.2022,41/АА-162-2021/10-2022,24.06.2022,23.06.2025,"Союз ""Торгово-промышленная палата Камчатского края""",«Первая»,9,19,,,,,,,19
хостел,"ХОСТЕЛ\t«B&B KamchatkaWildTours»\tООО ""КАМЧАТКА ВАЙЛД ТУРС""",ХОСТЕЛ\t«B&B KamchatkaWildTours»\t,"ООО ""КАМЧАТКА ВАЙЛД ТУРС""",Камчатский край,4101173769,1164101050618,"683031, Камчатский Край, г. Петропавловск-Камчатский, ул. Тушканова, д. 12, пом. 2",+7 914 782-01-11,a89004410828@yandex.ru,www.kamchatka-wild-tours.com,Батьков К.В.,без звёзд,1105,27.04.2022,78/АА-46/1105-2022,27.04.2022,26.04.2025,"Общество с ограниченной ответственностью ""Бюро классификации и экспертизы""",«Пятая»,4,8,,,,,,,8
"загородный отель, туристская база, база отдыха","База отдыха ""Антариус"" ООО ""Антариус""","База отдыха ""Антариус""","Общество с ограниченной ответственностью ""Антариус""",Камчатский край,4100022333,1024101033208,"684034, Камчатский край, Елизовский район, с. Паратунка, ул. Молчанова, д.22",8 914 789 1000,antarius_star@gmail.ru,,Полетаева Ирина Васильевна,две звезды,6,11.04.2022,№ 41/АА-162-2021/6-2021,12.04.2022,11.04.2025,"Союз ""Торгово-промышленная палата Камчатского края""",Высшая «люкс»,2,4,«Первая»,28,54,,,,58
городская гостиница (отель),"Городской отель ""DOUBLE L HOTEL"" ООО ""Лонхэй""","городской отель ""DOUBLE L HOTEL""","Общество с ограниченной ответственностью ""Лонхэй""",Камчатский край,4101179143,1174101011688,"683024, Камчатский край, г. Петропавловск - Камчатский, Проспект 50 лет Октября, д.25/2",88415335335,zhangtai@yandex.ru,,Полетаева Ирина Васильевна,три звезды,8,22.03.2022,№ 41/АА-162-2021/8-2021,22.03.2022,21.03.2025,"Союз ""Торгово-промышленная палата Камчатского края""",«Первая»,23,39,,,,,,,39
"загородный отель, туристская база, база отдыха","База отдыха ""Кордон Центральный Природный парк ""Налычево"" КГБУ ""Природный парк ""Вулканы Камчатки""","База отдыха ""Кордон Центральный Природный парк ""Налычево""","Краевое государственное бюджетное учреждение ""Природный парк ""Вулканы Камчатки""",Камчатский край,4105037284,1094141003417,"Природный парк ""Налычево""",+7 (41531)7-24-00,turizm@park-vulcany.ru,www.vulcanikamchatki.ru,О.М. Шахмалиева,без звёзд,220203-335-К/3,24.03.2022,25/АА-107/345-2022,24.03.2022,23.03.2025,"Общество с ограниченной ответственностью ""Приморский центр сертификации""",«Пятая»,15,117,,,,,,,117
хостел,"Хостел ""ВиЛа"" ИП Ешенко Лариса Павловна","Хостел ""ВиЛа""",ИП Ешенко Лариса Павловна,Камчатский край,410600324389,316410100061922,"684007, Камчатский край, г. Елизово, ул. Уральская, д.2",89638332232,hostelvila@yandex.ru,,Полетаева Ирина Васильевна,без звёзд,5,18.01.2022,№ 41/АА-162-2021/5-2021,18.01.2022,17.01.2025,"Союз ""Торгово-промышленная палата Камчатского края""",«Вторая»,1,1,«Пятая»,17,101,,,,102
хостел,"Хостел ""Паратунка"" ООО ""Водолей","Хостел ""Паратунка""","Общество с ограниченной ответственностью ""Водолей""",Камчатский край,4105043023,1134177001749,"684034, Камчатский край, Елизовский район, п. Паратунка, ул. Нагорная, д.34",8 914 782 17 88,hostel.paratunka@gmail.com,paratunkahostel.ru,Полетаева Ирина Васильевна,без звёзд,2,30.11.2021,№ 41/АА-162-2021/2-2021,30.11.2021,30.11.2024,"Союз ""Торгово-промышленная палата Камчатского края""",«Пятая»,5,19,,,,,,,19
городская гостиница (отель),"Гостиница ""Виктория"" ИП Белокопытов Игорь Викторович","Гостиница ""Виктория""",ИП Белокопытов Игорь Викторович,Камчатский край,410900024940,304410912700149,"Камчатский край, Усть-Камчатский район, п.Ключи, ул.Свободная, д.11",8(41534)21-002,hostel-viktori-kluchi@yandex.com,www://komandirovka.ru/hotells/kluchi_kamch._kr/viktoria,Полетаева Ирина Васильевна,без звёзд,4,22.12.2021,41/АА-162-2021/4-2021,22.12.2021,21.12.2024,"Союз ""Торгово-промышленная палата Камчатского края""",Высшая «люкс»,1,2,Высшая «студия»,1,2,«Вторая»,2,4,8
хостел,Хостел «HostelKam24» ИП Повзнер Евгений Дмитриевич,Хостел «HostelKam24»,ИП Повзнер Евгений Дмитриевич,Камчатский край,410111137015,305410103400037,"683001,  г. Петропавловск-Камчатский,  ул. Ленинская, д. 24",89638302024,hostelkam24@mail.ru,hostelkam24.ru,Шахмалиева О.М.,без звёзд,211206-324-К/3,17.12.2021,25/АА-107/340-2021,17.12.2021,16.12.2024,"Общество с ограниченной ответственностью ""Приморский центр сертификации""",«Пятая»,6,34,,,,,,,34
хостел,Хостел «Брусника» ИП Качайло Фёдор Фёдорович,Хостел «Брусника»,ИП Качайло Фёдор Фёдорович,Камчатский край,410102970206,320410100002504,"683024, г. Петропавловск-Камчатский,  ул.  50 лет Октября, д. 28, пом. 5-6",8(41522)35-55-04,karpaty.73@mail.ru,,Шахмалиева О.М.,без звёзд,211206-325-К/3,17.12.2021,25/АА-107/338-2021,17.12.2021,16.12.2024,"Общество с ограниченной ответственностью ""Приморский центр сертификации""",«Пятая»,3,13,,,,,,,13
городская гостиница (отель),Гостиница «Привал» ИП Пасмурова Евгения Юрьевна,Гостиница «Привал»,ИП Пасмурова Евгения Юрьевна,Камчатский край,410800125101,317410100017325,"684100, Камчатский край,  село Усть-Большерецк, ул. Калининская, д.12",89841654885,pasmurovae@gmail.com,,Шахмалиева О.М.,без звёзд,211207-330-К/3,16.12.2021,25/АА-107/337-2021,16.12.2021,15.12.2024,"Общество с ограниченной ответственностью ""Приморский центр сертификации""",«Первая»,1,2,«Вторая»,10,20,«Третья»,1,4,26
городская гостиница (отель),Гостиница «Мята» ИП Галаев Александр Валентинович,Гостиница «Мята»,ИП Галаев Александр Валентинович,Камчатский край,410102808838,305410101100066,"Камчатский край, Елизовский район, п. Красный, ул. Совхозная, д. 35А",81452320330,myatakam@yandex.ru,,Шахмалиева О.М.,без звёзд,211207-328-К/3,16.12.2021,25/АА-107/336-2021,16.12.2021,15.12.2024,"Общество с ограниченной ответственностью ""Приморский центр сертификации""",«Первая»,7,14,,,,,,,14
городская гостиница (отель),Гостиница «ШАДЕ» ИП Прибылов Игорь Владимирович,Гостиница «ШАДЕ»,ИП Прибылов Игорь Владимирович,Камчатский край,410100947280,304410114200132,"683011, Камчатский край, г. Петропавловск-Камчатский, ул. Первомайская, д. 4",+7 (4152) 47 61 47,shade777@gmail.com,,Синицкая Анастасия Игоревна,две звезды,520,30.06.2021,77/АА-110/520-2021,30.06.2021,29.06.2024,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",Высшая «джуниор сюит»,5,10,«Вторая»,6,12,«Третья»,2,12,34
"загородный отель, туристская база, база отдыха",«База по приему юных туристов» КГАУДО «Камчатский дом детского и юношеского туризма и экскурсий»,«База по приему юных туристов»,Краевое государственное автономное образовательное  учреждение дополнительного образования «Камчатский дом детского и юношеского туризма и экскурсий»,Камчатский край,4100020600,1024101023528,"683001, Камчатский край, г. Петропавловск-Камчатский, ул. Красинцев, д. 1",+7 (4152) 42 40 21,kamtourbaza@yandex.ru,kamdut.ru,Крошкин Лев Леонидович,без звёзд,918,17.05.2021,77/АА-110/918-2021,17.05.2021,16.05.2024,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",«Первая»,10,16,«Четвертая»,5,27,,,,43
городская гостиница (отель),Гостиница «Дольче Вита / Dolce Vita» ООО «ГринКам»,Гостиница «Дольче Вита / Dolce Vita»,Общество с ограниченной ответственностью «ГринКам»,Камчатский край,4101153593,1124101009350,"683031, Камчатский край, г. Петропавловск-Камчатский, ул. Топоркова, д. 5/1",+7 (4152) 200 300; +7 (4152) 200 400,greenkam41@mail.ru,dolcevita-hotel.ru,Крошкин Лев Леонидович,три звезды,916,06.05.2021,77/АА-110/916-2021,06.05.2021,05.05.2024,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",Высшая «люкс»,3,6,«Первая»,9,18,,,,24
городская гостиница (отель),Гостиница «Аэроотель» ООО «Западное-М»,Гостиница «Аэроотель»,Общество с ограниченной ответственностью «Западное-М»,Камчатский край,4108003660,1024101228986,"684010, Камчатский край, г. Елизово, ул. Магистральная, д. 44А",+7 (963) 833 44 00,aerohotel41@mail.ru,,Аникин Антон Сергеевич,три звезды,876,25.02.2021,77/АА-110/876-2021,25.02.2021,24.02.2024,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",«Первая»,26,51,,,,,,,51
хостел,«Sweet Home Kamchatka» ИП Андросова Ирина Юрьевна,«Sweet Home Kamchatka»,Индивидуальный предприниматель Андросова Ирина Юрьевна,Камчатский край,410100086168,304410132000489,"683031, Камчатский край, г. Петропавловск-Камчатский, ул. Войцешека, д.3А",+7 (4152) 303 555,retro41@inbox.ru,sweethome-kam.ru,Аникин Антон Сергеевич,без звёзд,870,28.01.2021,77/АА-110/870-2021,28.01.2021,27.01.2024,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",«Первая»,5,10,«Пятая»,2,16,,,,26
