vid,polnoe_naimenovanie,socrshenoe_naimenovanie,naimenovanie_ur_litca_ip,region,inn,ogrn_ogrnip,adres,telephon,email,sait,spectialist_po_classificatci,prisvoenay_categoriya,nomer_resheniya_o_prisvoenii_categorii,data_resheniya_o_prisvoenii_categorii,registratcionnyi_nomer_svidetelstva,data_vydachi_svidetelstva,srok_deistviya,acreditovanaya_organizatciya,categoria_1,kol_vo_nomerov_categoria_1,kol_vo_mest_categoria_1,categoria_2,kol_vo_nomerov_categoria_2,kol_vo_mest_categoria_2,categoria_3,kol_vo_nomerov_categoria_3,kol_vo_mest_categoria_3,itogo_nomerov
хостел,Хостел на Транспортной ИП Поликанов М. В.,Хостел на Транспортной,Индивидуальный предприниматель Поликанов Михаил Викторович,Магаданская область,490900671754,319491000000870,"685000, Магаданская обл., г. Магадан, ул. Транспортная, 19",+7 (914) 865 72 52,hotelkolyma@mail.ru,,Манцерова Марина Александровна,без звёзд,2081,07.09.2022,77/АА-110/2081-2022,07.09.2022,06.09.2025,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",«Первая»,5,10,«Третья»,2,7,,,,17
хостел,"Хостел ""Хостел Аурум"", ИП Колосов Д.П.","Хостел ""Хостел Аурум""",ИП Колосов Денис Петрович,Магаданская область,490911301650,312491011900091,"685918, г. Магадан , п. Сокол, ул. Королева, дом 11",+7 (413) 222 09 00,info@auroomhotel.ru,auroomhotel.ru,Кондакова В.А.,без звёзд,35,08.07.2022,23/007/35-2022,08.07.2022,07.07.2025,Общество с ограниченной ответственностью «Ритейл Отель-Сервис»,«Пятая»,40,156,,,,,,,156
городская гостиница (отель),"Гостиница ""ВМ-Центральная"", ООО ""Гостиница ""ВМ-Центральная""","Гостиница ""ВМ-Центральная"", ООО ""Гостиница ""ВМ-Центральная""","ООО ""Гостиница ""ВМ-Центральная""",Магаданская область,4909118984,1144910000718,"685000, Магаданская обл., г. Магадан, пр. Ленина, дом 13",+7 (4132) 60-10-88,hotelvm@mail.ru,hotelvm.ru,Кондакова В.А.,две звезды,33,08.07.2022,23/007/33-2022,08.07.2022,07.07.2025,Общество с ограниченной ответственностью «Ритейл Отель-Сервис»,Высшая «люкс»,2,2,Высшая «джуниор сюит»,7,7,«Первая»,44,48,57
хостел,Хостел «Книжный» ООО «КНИЖНЫЙ»,Хостел «Книжный»,Общество с ограниченной ответственностью «КНИЖНЫЙ»,Магаданская область,4900000360,1214900000094,"685000, Магаданская обл., г. Магадан, ул. Якутская, дом 56/11",+7 (914) 860 06 62,maghostel@yandex.ru,,Синицкая Анастасия Игоревна,без звёзд,485,10.12.2021,77/АА-68/485-2021,10.12.2021,09.12.2024,"Автономная некоммерческая организация ""Центр развития социального и культурно-познавательного туризма""",«Первая»,4,7,«Пятая»,9,28,,,,35
городская гостиница (отель),Гостиница «Украина» ИП Терешко Виктор Викторович,Гостиница «Украина»,ИП Терешко Виктор Викторович,Магаданская область,4901007048,311491019200076,"685000, г. Магадан, ул. Октябрьская, д. 17",+7 (4132) 630-645,mag-ocean@mail.ru,www.otelivmagadane.ru,,две звезды,523.ЦК,02.05.2020,78/16/396-2019,03.05.2020,02.05.2023,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Первая»,45,90,,,,,,,90
городская гостиница (отель),Гостиница «Магадан»  ООО «Гостиница Магадан-плюс»,Гостиница «Магадан»,ООО «Гостиница Магадан-плюс»,Магаданская область,4909101902,1094910000327,"685000, г. Магадан, ул. Пролетарская, д. 8",+7 (4132) 604-320,gostmagadan1@mail.ru,www.magadanhotel.ru,,три звезды,522.ЦК,02.05.2020,78/16/395-2019,03.05.2020,02.05.2023,"Общество с ограниченной ответственностью ""Звезды Отелям""",Высшая «люкс»,6,12,Высшая «джуниор сюит»,2,4,«Первая»,74,148,164
городская гостиница (отель),Гостиница «Колыма» Общество с ограниченной ответственностью «Илмакс»,Гостиница «Колыма»,Общество с ограниченной ответственностью «Илмакс»,Магаданская область,4909129129,1194910000284,"Российская Федерация, 685918  Магаданская обл., г. Магадан, пгт. Сокол, территория Аэропорт, ул. Аэропортовая, д. 8","+7 (4132) 201-561, 201-564",Ilmaks_19@mail.ru,,,без звёзд,914,23.12.2019,77/36/914-2019,23.12.2019,23.12.2022,"Некоммерческая организация ""Российская Гостиничная Ассоциация""",Высшая «люкс»,1,2,«Первая»,19,38,«Вторая»,11,18,58
городская гостиница (отель),"Гостиница «Океан (2, 3 этажи)» ООО «Гостиничный комплекс «Океан»","Гостиница «Океан (2, 3 этажи)»",ООО «Гостиничный комплекс «Океан»,Магаданская область,4901007048,1054900211266,"685000, г. Магадан, ул. Портовая 36/10",+7 (4132) 630-645,mag-ocean@mail.ru,www.otelivmagadane.ru,,две звезды,519.ЦК,25.12.2019,78/16/393-2019,30.12.2019,29.12.2022,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Первая»,21,42,,,,,,,42
городская гостиница (отель),«Гостиничный комплекс эконом-класса 2 корпус» АО «Аэропорт Магадан»,«Гостиничный комплекс эконом-класс 2 корпус»,Акционерное общество «Аэропорт Магадан»,Магаданская область,4909115648,1124910019167,"685918, Магаданская область, г. Магадан, пгт. Сокол",8 (4132) 690-777,airport-magadan@mail.ru,airport-magadan.ru,Крошкин Лев Леонидович,без звёзд,620-3,18.11.2021,77/АА-110/620-3-2021,18.11.2021,19.12.2022,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",«Первая»,3,4,«Третья»,1,6,«Четвертая»,5,8,18
городская гостиница (отель),«Гостиничный комплекс 1 корпус» АО «Аэропорт Магадан»,«Гостиничный комплекс 1 корпус»,Акционерное общество «Аэропорт Магадан»,Магаданская область,4909115648,1124910019167,"685918, Магаданская область, г. Магадан, пгт. Сокол",8 (4132) 690-777,airport-magadan@mail.ru,airport-magadan.ru,Крошкин Лев Леонидович,две звезды,620-1,24.05.2021,77/АА-110/620-1-2021,24.05.2021,19.12.2022,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",Высшая «люкс»,1,1,Высшая «джуниор сюит»,5,8,«Первая»,28,33,42
городская гостиница (отель),Гостиница «Голдэн Хаус» ООО «Голдэн Хаус»,Гостиница «Голдэн Хаус»,ООО «Голдэн Хаус»,Магаданская область,4909111996,1114910004660,"685007, г. Магадан, ул. Транспортная, д.1",+7(4132) 201-111,post@hotel-goldenhouse.ru,www.hotel-goldenhouse.ru,,три звезды,516.ЦК,23.12.2019,78/16/390-2019,23.12.2019,22.12.2022,"Общество с ограниченной ответственностью ""Звезды Отелям""",Высшая «джуниор сюит»,3,6,«Первая»,19,38,,,,44
городская гостиница (отель),Гостиница «Сильвер Хаус» ИП Джанаева Ирина Алихановна,Гостиница «Сильвер Хаус»,ИП Джанаева Ирина Алихановна,Магаданская область,490906094609,316491000053324,"685000, г. Магадан, ул. Набережная реки Магаданки, д. 9",+7(4132) 201-911,post@hotel-silverhouse.ru,www.hotel-silverhouse.ru,,без звёзд,517.ЦК,23.12.2019,78/16/391-2019,24.12.2019,23.12.2022,"Общество с ограниченной ответственностью ""Звезды Отелям""",Высшая «студия»,4,8,«Первая»,37,74,,,,82
городская гостиница (отель),"Гостиница «Океан (3, 4, 5 этажи)» ИП Терешко Виктор Викторович","Гостиница «Океан (3, 4, 5 этажи)»",ИП Терешко Виктор Викторович,Магаданская область,4901007048,311491019200076,"685000, г. Магадан, ул. Портовая, д. 36/10",+7 (4132) 630-645,mag-ocean@mail.ru,www.otelivmagadane.ru,,две звезды,521.ЦК,25.12.2019,78/16/394-2019,30.12.2019,29.12.2022,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Первая»,43,86,,,,,,,86
городская гостиница (отель),Гостиница «Золотая Тенька» МБУ «ТЭЦ»,Гостиница «Золотая Тенька»,Муниципальное бюджетное учреждение «Тенькинский эксплуатационный центр» Тенькинского городского округа Магаданской области,Магаданская область,4906001674,1164910051184,"686050, Магаданская область, Тенькинский район, пгт. Усть-Омчуг, ул. Мира, д. 2",+7 (41344) 304 64,DrozdND@49gov.ru,,Дорошенко Ирина Евгеньевна,без звёзд,456,08.10.2021,77/АА-68/456-2021,08.10.2021,07.10.2024,"Автономная некоммерческая организация ""Центр развития социального и культурно-познавательного туризма""",«Первая»,3,3,«Вторая»,2,2,«Пятая»,3,10,15
городская гостиница (отель),Гостиница «Колымская» ИП Поликанов М. В.,Гостиница «Колымская»,Индивидуальный предприниматель Поликанов Михаил Викторович,Магаданская область,490900671754,319491000000870,"685000, Магаданская обл., г. Магадан, ул. Кольцевая, д. 14",+7 (914) 865 72 52,klmahtl@yandex.ru,,Дорошенко Ирина Евгеньевна,без звёзд,2053,01.07.2022,77/АА-110/2053-2022,01.07.2022,30.06.2025,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",Высшая «студия»,2,4,«Первая»,9,18,«Третья»,2,16,38
городская гостиница (отель),"Гостиница ""Аурум"", ИП Колосов Д.П.","Гостиница ""Аурум""",ИП Колосов Денис Петрович,Магаданская область,490911301650,312491011900091,"685918, г. Магадан , п. Сокол, ул. Королева, дом 11",+7 (413) 222 09 00,info@auroomhotel.ru,auroomhotel.ru,Кондакова В.А.,три звезды,34,08.07.2022,23/007/34-2022,08.07.2022,07.07.2025,Общество с ограниченной ответственностью «Ритейл Отель-Сервис»,Высшая «джуниор сюит»,10,20,«Первая»,50,80,,,,100
городская гостиница (отель),ГОСТЕВОЙ ДОМ\t«Тайм»\tИП Мохнатый С.П.,ГОСТЕВОЙ ДОМ\t«Тайм»\t,ИП Мохнатый Сергей Петрович,Магаданская область,490900668871,304491018200103,"685007, Магаданская область, г. Магадан, ул. Берзина, д. 4, корп. 2",+7 914 865-84-48,fruitlord@list.ru,time-magadan.ru,Ковальчук П.О.,без звёзд,1201,27.07.2022,78/АА-46/1201-2022,27.07.2022,26.07.2025,"Общество с ограниченной ответственностью ""Бюро классификации и экспертизы""",«Первая»,6,12,,,,,,,12
