vid,polnoe_naimenovanie,socrshenoe_naimenovanie,naimenovanie_ur_litca_ip,region,inn,ogrn_ogrnip,adres,telephon,email,sait,spectialist_po_classificatci,prisvoenay_categoriya,nomer_resheniya_o_prisvoenii_categorii,data_resheniya_o_prisvoenii_categorii,registratcionnyi_nomer_svidetelstva,data_vydachi_svidetelstva,srok_deistviya,acreditovanaya_organizatciya,categoria_1,kol_vo_nomerov_categoria_1,kol_vo_mest_categoria_1,categoria_2,kol_vo_nomerov_categoria_2,kol_vo_mest_categoria_2,categoria_3,kol_vo_nomerov_categoria_3,kol_vo_mest_categoria_3,itogo_nomerov
городская гостиница (отель),Гостиница «Отель на Прусской» ООО «Евротех плюс»,Гостиница «Отель на Прусской»,ООО «Евротех плюс»,Новгородская область,5321120651,1075321007057,"173007, Новгородская область, г. Великий Новгород, ул. Прусская, д. 8/19",8 816 279 94 04,otel-evrotex@mail.ru,,Милованов Евгений Владимирович,три звезды,0157,17.10.2022,47/2/157-2022,17.10.2022,16.10.2025,"Общество с ограниченной ответственностью ""ОТЕЛЬ-КОНСАЛТ""",Высшая «люкс»,1,2,Высшая «джуниор сюит»,2,4,Высшая «студия»,3,6,12
городская гостиница (отель),«Апарт-отель «Неревский» ООО «ТУРИСТ»,«Апарт-отель «Неревский»,Общество с ограниченной ответственностью «ТУРИСТ»,Новгородская область,5321186885,1175321000360,"173001, г. Великий Новгород, ул. Великая, д. 1",+78162637370,aponerevsk@mail.ru,nerevskiy.com,Леонова Олеся Николаевна,три звезды,1539/01,31.08.2022,78/АА-97/539-2022,31.08.2022,30.08.2025,"Общество с ограниченной ответственностью ""Фатум Эксперт""",Высшая «студия»,9,18,«Первая»,12,24,,,,42
городская гостиница (отель),Гостиница «Релакс» ИП Карпушенко А.П.,Гостиница «Релакс»,"Индивидуальный предприниматель Карпушенко Андрей Петрович  (ИП ""Карпушенко А.П."")",Новгородская область,531100289373,304533404400022,"174350, Российская Федерация, Новгородская область, город Окуловка, улица Н. Николаева, дом 59",+7(921)6930106,pelaks-okulovka@mail.ru,okulovka-relax.ru,Гильманшина Ольга Петровна,две звезды,004,01.06.2022,АА-103/002-2022,01.06.2022,31.05.2025,"Федеральное бюджетное  учреждение ""Государственный региональный центр стандартизации, метрологии и испытаний в г. Санкт-Петербурге и Ленинградской области""",«Вторая»,3,6,«Третья»,11,41,,,,47
"загородный отель, туристская база, база отдыха","База отдыха ""Любытино-Хутор"" ООО «ЛЮБЫТИНО-ХУТОР»","База отдыха ""Любытино-Хутор""",ООО «ЛЮБЫТИНО-ХУТОР»,Новгородская область,5306007690,1185321002283,"174762, Новгородская область, Любытинский район, д. Бор, д. 129",+7 921-994-73-38,lyb-xutor@yandex.ru,,Пасько Ольга Владимировна,три звезды,401,11.05.2022,АА-008/401-2022,11.05.2022,11.05.2025,"Общество с ограниченной ответственность ""НЦСЭ ""Хорекаэкспертгрупп""",Высшая «апартмент»,8,16,Высшая «люкс»,7,14,Высшая «джуниор сюит»,2,4,34
городская гостиница (отель),Гостиница «RUSSHOTEL» ИП Васильев В.А.,Гостиница «RUSSHOTEL»,Индивидуальный предприниматель Васильев Валерий Александрович,Новгородская область,532200022199,309533205100016,"175000, Новгородская обл., г. Старая Русса, ул. Ломоносова, д. 56",+7 (911) 6011254,89116011254@mail.ru,,Леонова Олеся Николаевна,три звезды,1356/01,29.03.2022,78/АА-97/356-2022,29.03.2022,28.03.2025,"Общество с ограниченной ответственностью ""Фатум Эксперт""",«Первая»,23,46,,,,,,,46
городская гостиница (отель),"Гостиница ООО ""Общепит"" ООО ""Общепит""","Гостиница ООО ""Общепит""","ООО ""Общепит""",Новгородская область,5304006349,1175321003758,"175310, Новгородская область, п.г.т. Демянск, ул. 1 Мая, д. 61",8 816 514 23 54,demyansk.obshepit@yandex.ru,,Милованов Евгений Владимирович,без звёзд,0074,28.03.2022,47/2/074-2022,28.03.2022,27.03.2025,"Общество с ограниченной ответственностью ""ОТЕЛЬ-КОНСАЛТ""",Высшая «люкс»,2,4,«Первая»,2,4,«Вторая»,2,4,12
городская гостиница (отель),ГОСТИНИЦА «ОМЗ»,ГОСТИНИЦА «ОМЗ»,ИП Барановская О.А.,Новгородская область,531300746355,311533101700027,"Новгородская область, г. Пестово, Устюженское шоссе, д.12",892117065743,botel.olga@yandex.ru,,А.В. Сомова,одна звезда,072/2022,27.02.2022,78/АА-004/072/2022,27.02.2022,26.02.2025,"СОЮЗ ""САНКТ-ПЕТЕРБУРГСКАЯ ТОРГОВО-ПРОМЫШЛЕННАЯ ПАЛАТА""",«Первая»,6,10,,,,,,,10
хостел,Хостел «Welcome inn VN» ООО «ЕСКО»,Хостел «Welcome inn VN»,Общество с ограниченной ответственностью «ЕСКО»,Новгородская область,5321191902,1175321007949,"173004, г. Великий Новгород, ул. Молотковская, д. 4",+7 (8162) 900887,hostelwn@gmail.com,vk.com/hostelwnv,Леонова Олеся Николаевна,без звёзд,1293/01,08.02.2022,78/АА-97/293-2022,08.02.2022,07.02.2025,"Общество с ограниченной ответственностью ""Фатум Эксперт""",«Пятая»,15,50,,,,,,,50
городская гостиница (отель),Гостиница «Полисть» ООО «Полисть-тур»,Гостиница «Полисть»,Общество с ограниченной ответственностью «Полисть-тур»,Новгородская область,5322013437,1115332000508,"175202, Новгородская обл., г. Старая Русса, ул. Гостинодворская, д. 20",+7 (8 (8165) 231 284; +7 (8165) 237 547,reservation@novtour.ru,www.polist-tour.ru,Крошкин Лев Леонидович,три звезды,995,17.01.2022,77/АА-110/995-2022,17.01.2022,16.01.2025,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",Высшая «джуниор сюит»,8,16,«Первая»,96,96,,,,112
городская гостиница (отель),Гостиница «Волхов» ООО «Метида Инвест»,Гостиница «Волхов»,Общество с ограниченной ответственностью «Метида Инвест»,Новгородская область,7709930464,1137746478726,"173007, Новгородская область, г. Великий Новгород, ул. Предтеченская, дом 24","+7 (8162) 788  012, +7 (8162) 788 888, +7 (8162) 788 887, +7 (8162) 788 013",welcome@novtour.ru; reservation@novtour.ru,hotel-volkhov.ru,Крошкин Лев Леонидович,четыре звезды,994,13.01.2022,77/АА-110/994-2022,13.01.2022,12.01.2025,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",Высшая «люкс»,2,4,Высшая «джуниор сюит»,12,24,«Первая»,109,165,193
