vid,polnoe_naimenovanie,socrshenoe_naimenovanie,naimenovanie_ur_litca_ip,region,inn,ogrn_ogrnip,adres,telephon,email,sait,spectialist_po_classificatci,prisvoenay_categoriya,nomer_resheniya_o_prisvoenii_categorii,data_resheniya_o_prisvoenii_categorii,registratcionnyi_nomer_svidetelstva,data_vydachi_svidetelstva,srok_deistviya,acreditovanaya_organizatciya,categoria_1,kol_vo_nomerov_categoria_1,kol_vo_mest_categoria_1,categoria_2,kol_vo_nomerov_categoria_2,kol_vo_mest_categoria_2,categoria_3,kol_vo_nomerov_categoria_3,kol_vo_mest_categoria_3,itogo_nomerov
городская гостиница (отель),МИНИ-ГОСТИНИЦА\t«Лидер»\tИП Ефимов Анатолий Иванович,МИНИ-ГОСТИНИЦА\t«Лидер»\t,ИП Ефимов Анатолий Иванович,Республика Саха (Якутия),143520415245,304143515900078,"677005, Республика Саха (Якутия), г. Якутск, ул. Петра Алексеева, д. 83, корп. 9",+7 914 301-07-33,742689lider@mail.ru,,Батьков К.В.,две звезды,1302,10.10.2022,78/АА-46/1302-2022,10.10.2022,09.10.2025,"Общество с ограниченной ответственностью ""Бюро классификации и экспертизы""",«Первая»,3,6,,,,,,,6
городская гостиница (отель),Гостиница «Стерх» основной корпус ООО «Визит»,Гостиница «Стерх» основной корпус,Общество с ограниченной ответственностью «Визит»,Республика Саха (Якутия),1400002558,1211400013032,"677000, Республика Саха (Якутия), город Якутск, пр.Ленина, д.8",+7 (4112) 34 27 01,sterkh05@mail.ru; gos.sterkh@yandex.ru,sterkh.biz,Дорошенко Ирина Евгеньевна,три звезды,2028,23.05.2022,77/АА-110/2028-2022,23.05.2022,22.05.2025,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",Высшая «люкс»,2,2,Высшая «джуниор сюит»,20,20,«Первая»,10,10,32
городская гостиница (отель),"Гостиница «Цветы», ООО «Галантус»",Гостиница «Цветы»,ООО «Галантус»,Республика Саха (Якутия),1435208542,1081435011602,"677001, Республика Саха (Якутия), г.Якутск, ул.Кальвица д.14,кор.2Б",8(4112)505691,flowers-21@mail.ru,,Кондакова В.А.,три звезды,15,03.05.2022,23/007/15-2022,03.05.2022,02.05.2025,Общество с ограниченной ответственностью «Ритейл Отель-Сервис»,«Первая»,9,20,,,,,,,20
городская гостиница (отель),"Гостиница «Фиалка», ИП Акбутаев Г.Ж.",Гостиница «Фиалка»,ИП Акбутаев Галимжан Жорович,Республика Саха (Якутия),142100320278,320144700031141,"678100, Республика Саха (Якутия), Олекминский район, г. Олекминск, улица Бровина, дом 4",8 (914) 283-30-10,Titan.org@mail.ru,,Кондакова В.А.,без звёзд,13,03.05.2022,23/007/13-2022,03.05.2022,02.05.2025,Общество с ограниченной ответственностью «Ритейл Отель-Сервис»,«Первая»,9,18,,,,,,,18
городская гостиница (отель),"Гостиница ""Уют"", ИП Силаев А.О.","Гостиница ""Уют""",ИП Силаев Анатолий Олегович,Республика Саха (Якутия),141426627337,310141402500031,"78158, Республика Саха (Якутия), Ленский район, п. Пеледуй, ул.Центральная, 47",8 (41137)26929,silaeva.1963@mail.ru,,Кондакова В.А.,без звёзд,10,02.05.2022,23/007/10-2022,02.05.2022,01.05.2025,Общество с ограниченной ответственностью «Ритейл Отель-Сервис»,«Первая»,1,2,«Пятая»,5,9,,,,11
городская гостиница (отель),"Гостиница «Кураж», ООО «ФАРТ»","Гостиница «Кураж», ООО «ФАРТ»",ООО «ФАРТ»,Республика Саха (Якутия),1414017392,1191447003362,"678150, Республика Саха (Якутия), Ленский район, п.Витим, ул.Октябрьская, 4а",8 (914) 113-47-47,Dekkertiv@mail.ru,,Кондакова В.А.,без звёзд,9,01.05.2022,23/007/9-2022,01.05.2022,30.04.2025,Общество с ограниченной ответственностью «Ритейл Отель-Сервис»,«Первая»,2,2,«Пятая»,8,16,,,,18
"загородный отель, туристская база, база отдыха","Загородный отель ""Загородный ЭКОПАРК ОТЕЛЬ «Орто Дойду»"", ИП Андреев П.Н.","Загородный отель ""Загородный ЭКОПАРК ОТЕЛЬ «Орто Дойду»""",ИП Андреев Пётр Николаевич,Республика Саха (Якутия),143501258741,306143515100108,"678027, Республика Саха (Якутия), Хангаласский улус, Покровский тракт 49 км.",89246636777,andmari2008@mail.ru,,Кондакова В.А.,три звезды,42,07.07.2022,23/007/42-2022,07.07.2022,30.04.2025,Общество с ограниченной ответственностью «Ритейл Отель-Сервис»,Высшая «апартмент»,8,28,,,,,,,28
хостел,"Хостел ""Томмот"", ИП Орловская Л.Г.","Хостел ""Томмот"", ИП Орловская Л.Г.",ИП Орловская Л.Г.,Республика Саха (Якутия),140200805378,305140209700032,"78953, Республика Саха (Якутия), Алданский район, г.Томмот, ул. Тимирязева, д.2",89247649935,larisakuban1967@gmail.com,,Кондакова В.А.,без звёзд,5,30.04.2022,23/007/5-2022,30.04.2022,29.04.2025,Общество с ограниченной ответственностью «Ритейл Отель-Сервис»,«Пятая»,4,10,,,,,,,10
городская гостиница (отель),"Гостиница ""Соната"", ООО «Общепит Медиа»","Гостиница ""Соната"", ООО «Общепит Медиа»",ООО «Общепит Медиа»,Республика Саха (Якутия),6318015289,1166313099457,"677000, Республика Саха (Якутия), г. Якутск, ул. Губина, 39",+7 (914) 2200321,hotel_sonata@mail.ru,sonatahotel.obchepitmedia.ru,Кондакова В.А.,три звезды,4,30.04.2022,23/007/4-2022,30.04.2022,29.04.2025,Общество с ограниченной ответственностью «Ритейл Отель-Сервис»,Высшая «джуниор сюит»,8,16,«Первая»,29,58,,,,74
городская гостиница (отель),Городская гостиница «Виктория» ИП Нектегаева Юлия Владимировна,Городская гостиница «Виктория»,ИП Нектегаева Юлия Владимировна,Республика Саха (Якутия),140211154304,321144700010561,"678900, Республика Саха (Якутия), г. Алдан, ул. Пролетарская, д. 17",+7(924)464-30-00,84114533366@mail.ru,,Борунова Ирина Анатольевна,без звёзд,111,29.12.2021,77/АА-93/111-2021,29.12.2021,29.12.2024,"Общество с ограниченной ответственностью ""Стар Лайн""",«Первая»,2,3,«Вторая»,2,2,,,,5
