vid,polnoe_naimenovanie,socrshenoe_naimenovanie,naimenovanie_ur_litca_ip,region,inn,ogrn_ogrnip,adres,telephon,email,sait,spectialist_po_classificatci,prisvoenay_categoriya,nomer_resheniya_o_prisvoenii_categorii,data_resheniya_o_prisvoenii_categorii,registratcionnyi_nomer_svidetelstva,data_vydachi_svidetelstva,srok_deistviya,acreditovanaya_organizatciya,categoria_1,kol_vo_nomerov_categoria_1,kol_vo_mest_categoria_1,categoria_2,kol_vo_nomerov_categoria_2,kol_vo_mest_categoria_2,categoria_3,kol_vo_nomerov_categoria_3,kol_vo_mest_categoria_3,itogo_nomerov
городская гостиница (отель),"Гостиница ""Уют"" ИП Марченко Т.В.","Гостиница ""Уют""",Индивидуальный предприниматель Марченко Тамара Владимировна,Республика Хакасия,190800514661,306190304500049,"655250, Российская Федерация, Республика Хакасия,  Орджоникидзевский район, поселок Копьево, улица Речная, дом 3",8-390-36-2-24-62,anna-m275@yandex.ru,-,Гильманшина О.П.,без звёзд,078,10.10.2022,24/АА-020/68-2022,11.10.2022,10.10.2025,"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ РЕГИОНАЛЬНЫЙ ЦЕНТР СТАНДАРТИЗАЦИИ, МЕТРОЛОГИИ И ИСПЫТАНИЙ В КРАСНОЯРСКОМ КРАЕ, РЕСПУБЛИКЕ ХАКАСИЯ И РЕСПУБЛИКЕ ТЫВА""",«Пятая»,9,19,,,,,,,19
"загородный отель, туристская база, база отдыха","Туристская база ""SNOWLABPRI"" ООО ""СНОУЛАБПРИ"" (ООО ""СЛП"")","Туристская база ""SNOWLABPRI""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СНОУЛАБПРИ"" (ООО ""СЛП"")",Республика Хакасия,2463096871,1152468045564,"655266, Российская Федерация, Республика Хакасия, Орджоникидзевский район,  село Приисковое, улица Советская, дом 18 «Д»",8(950)4249973,info@snowlabpri.ru,snowlabpri.ru,Гильманшина Ольга Петровна,без звёзд,077,26.08.2022,24/АА-020/067-2022,26.08.2022,25.08.2025,"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ РЕГИОНАЛЬНЫЙ ЦЕНТР СТАНДАРТИЗАЦИИ, МЕТРОЛОГИИ И ИСПЫТАНИЙ В КРАСНОЯРСКОМ КРАЕ, РЕСПУБЛИКЕ ХАКАСИЯ И РЕСПУБЛИКЕ ТЫВА""",«Первая»,2,4,«Пятая»,7,22,,,,26
городская гостиница (отель),"Гостиница спортивно-тренировочного центра «Тея» (3 корпус) АУ РХ ""СШ ""ТЕЯ""",Гостиница спортивно-тренировочного центра «Тея» (3 корпус),Автономное учреждение Республики Хакасия «Спортивная школа «Тея»,Республика Хакасия,1901097448,1101901004260,"655731, Республика Хакасия, Аскизский район, рп Вершина Тёи, ул. Лесная, д. 5",+7 (3902) 35-18-18,csp-tey2010@yandex.ru,rcsptey.ru,Биткулова Л.И.,одна звезда,916/1.ЦК,08.07.2022,78/АА-034/738-2022,15.07.2022,14.07.2025,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Первая»,5,9,«Третья»,6,20,«Пятая»,2,16,45
городская гостиница (отель),"Отель ""Саяногорск"" ООО ""БИЗНЕС ОТЕЛЬ САЯНОГОРСК""","Отель ""Саяногорск""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЗНЕС ОТЕЛЬ САЯНОГОРСК""",Республика Хакасия,1902027813,1171901001040,"655603, Российская Федерация, Республика Хакасия, город Саяногорск,  микрорайон Центральный, дом 50",+73904261144,hotel@sayanhotel.ru,sayanhotel.ru,Гильманшина Ольга Петровна,три звезды,069,23.07.2022,24/АА-020/063-2022,24.07.2022,23.07.2025,"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ РЕГИОНАЛЬНЫЙ ЦЕНТР СТАНДАРТИЗАЦИИ, МЕТРОЛОГИИ И ИСПЫТАНИЙ В КРАСНОЯРСКОМ КРАЕ, РЕСПУБЛИКЕ ХАКАСИЯ И РЕСПУБЛИКЕ ТЫВА""",«Первая»,37,53,,,,,,,53
городская гостиница (отель),"Гостиница ""ВОЛЕЙ ЯР"" ИП Манжула О.В.","Гостиница ""ВОЛЕЙ ЯР""",ИП Манжула Олег Владимирович,Республика Хакасия,190158457013,304190115600272,"655650, Республика Хакасия, Алтайский район, с.Белый Яр, ул.Советская, д.16А, пом.2Н",89833723498,hgs2007@yandex.ru,,Кожевникова Евгения Владимировна,без звёзд,39,20.07.2022,22/АА-032/0169-2022,20.07.2022,19.07.2025,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРАНТ СОЮЗ""",«Пятая»,7,40,,,,,,,40
городская гостиница (отель),"Гостиница ""Анзас"" ИП Астанаева И.В.","Гостиница ""Анзас""",Индивидуальный предприниматель Астанаева Ирина Валерьевна,Республика Хакасия,190104473202,319190100023492,"655017, Российская Федерация, Республика Хакасия, город Абакан, улица Вокзальная, дом 7А","8(3902)22-63-64,  8(3902)22-54-60",anzas@bk.ru,anzas.ru,О. П. Гильманшина,три звезды,067,20.07.2022,24/АА-020/061-2022,20.07.2022,19.07.2025,"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ РЕГИОНАЛЬНЫЙ ЦЕНТР СТАНДАРТИЗАЦИИ, МЕТРОЛОГИИ И ИСПЫТАНИЙ В КРАСНОЯРСКОМ КРАЕ, РЕСПУБЛИКЕ ХАКАСИЯ И РЕСПУБЛИКЕ ТЫВА""",«Первая»,35,56,,,,,,,56
городская гостиница (отель),"Городская гостиница ""Енисей"" ИП Шишкин Д.В.","Городская гостиница ""Енисей""",Индивидуальный предприниматель Шишкин Денис Владимирович,Республика Хакасия,190206556401,312190202700037,"655603, республика Хакасия, г.Саяногорск, ул.Ивана Ярыгина, 9А",+7-922-718-25-20,enisey-hotel@mail.ru,,Киселева Р.Ф.,две звезды,013,27.08.2022,АА-157/013-2022,27.08.2022,26.08.2025,"Общество с ограниченной ответственностью ""Хоспиталитигрупп""",«Первая»,2,4,«Вторая»,7,7,«Третья»,10,10,21
"загородный отель, туристская база, база отдыха","База отдыха ""ОАЗИС"" ИП Теплых В.Н.","База отдыха ""ОАЗИС""",Индивидуальный предприниматель Теплых Валентина Николаевна,Республика Хакасия,504408279180,321508100203757,"655200, Российская Федерация, Республика Хакасия, Ширинский район,  западный берег Малого Плеса озера Беле, улица Рыбаков, дом 9А",+79083260616,bele19@yandex.ru,oazisnabele.ru,О.П. Гильманшина,одна звезда,070,27.06.2022,24/АА-020/057-2022,27.06.2022,26.06.2025,"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ РЕГИОНАЛЬНЫЙ ЦЕНТР СТАНДАРТИЗАЦИИ, МЕТРОЛОГИИ И ИСПЫТАНИЙ В КРАСНОЯРСКОМ КРАЕ, РЕСПУБЛИКЕ ХАКАСИЯ И РЕСПУБЛИКЕ ТЫВА""",«Первая»,9,18,«Третья»,23,48,,,,66
"загородный отель, туристская база, база отдыха","База отдыха ""Загородный очаг"" ИП Бурмагина Н.Г.","База отдыха ""Загородный очаг""",Индивидуальный предприниматель Бурмагина Нина Григорьевна,Республика Хакасия,190200075042,304190235100149,"Российская Федерация, Республика Хакасия, Муниципальное образование Бийский район, квартал 8 (выдел 64) Манского участкового лесничества Саяногорского лесничества, номер государственного учета в лесном реестре 164-2008-12",+79061906171,z.ochad.bo@gmail.com,,О.П. Гильманшина,без звёзд,068,08.06.2022,24/АА-020/056-2022,08.06.2022,07.06.2025,"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННЫЙ РЕГИОНАЛЬНЫЙ ЦЕНТР СТАНДАРТИЗАЦИИ, МЕТРОЛОГИИ И ИСПЫТАНИЙ В КРАСНОЯРСКОМ КРАЕ, РЕСПУБЛИКЕ ХАКАСИЯ И РЕСПУБЛИКЕ ТЫВА""",«Третья»,7,40,,,,,,,40
"загородный отель, туристская база, база отдыха","База отдыха ""Озеро Дикое"" ФБУ Центр Реабилитации ФСС РФ ""Туманный""","База отдыха ""Озеро Дикое""","ФБУ Центр Реабилитации ""Фонда социального страхования Российской Федерации ""Туманный""",Республика Хакасия,1910004513,1021900850377,"655111, Республика Хакасия, Боградский район, 11км юго-восточнее с. Сонское, 1,5км восточнее ВЛ 500кв. Абакан-Итатская, уч.2 (урочище ""озеро Дикое"")",+7 (39033)2-21-04,info@tumannet.ru,www.tumannet.ru,Биткулова Л.И.,без звёзд,568.ЦК,30.06.2020,78/АА-034/434-2020,02.07.2020,01.07.2023,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Пятая»,2,18,,,,,,,18
