vid,polnoe_naimenovanie,socrshenoe_naimenovanie,naimenovanie_ur_litca_ip,region,inn,ogrn_ogrnip,adres,telephon,email,sait,spectialist_po_classificatci,prisvoenay_categoriya,nomer_resheniya_o_prisvoenii_categorii,data_resheniya_o_prisvoenii_categorii,registratcionnyi_nomer_svidetelstva,data_vydachi_svidetelstva,srok_deistviya,acreditovanaya_organizatciya,categoria_1,kol_vo_nomerov_categoria_1,kol_vo_mest_categoria_1,categoria_2,kol_vo_nomerov_categoria_2,kol_vo_mest_categoria_2,categoria_3,kol_vo_nomerov_categoria_3,kol_vo_mest_categoria_3,itogo_nomerov
городская гостиница (отель),Гостиница «Маршал» Петрозаводск ФГУП «Управление гостиничным хозяйством» Минобороны России,Гостиница «Маршал» Петрозаводск,ФГУП «Управление гостиничным хозяйством» Минобороны России,Республика Карелия,4617004041,1024600616150,"185030, Республика Карелия, г. Петрозаводск, ул. Лесная, д. 3","8-963-713-59-65, 8 (8142) 76-75-65",pzk@hotel-mo.ru,pzk-hotel.ru,Акутина Д.В.,без звёзд,А-294,02.11.2022,77/АА-94/А-294-2022,02.11.2022,01.11.2025,"Общество с ограниченной ответственностью  ""Академия Консалтинга""",«Первая»,4,7,«Вторая»,74,134,«Пятая»,4,5,146
городская гостиница (отель),"Гостиница ""Сортавала"" ИП Верба Д.С.","Гостиница ""Сортавала""",Индивидуальный предприниматель Верба Денис Сергеевич,Республика Карелия,780705836838,318784700204230,"186792,Россия,Республика Карелия, г.Сортавала, ул.Карельская, дом 35",+7(81430) 4-60-22,hotel@sortavala.ru,www.sortavala.ru,Сычева Любовь Алексеевна,две звезды,096,03.11.2022,10/АА-036/096-2022,03.11.2022,03.11.2025,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРЕЛСЕРТИФИКАЦИЯ""",«Первая»,61,111,«Вторая»,6,9,,,,120
городская гостиница (отель),"Гостиница ""Ладога"" ООО ""Ладога-Тур""","Гостиница ""Ладога""","ООО ""Ладога-Тур""",Республика Карелия,1007012416,1021000945404,"186792,Россия,Республика Карелия, г.Сортавала, ул.Карельская, дом 12",+7(81430) 4-52-44,officeladogatyr@yandex.ru,www.ladoga-hotel.ru,Сычева Любовь Алексеевна,две звезды,094,03.10.2022,10/АА-036/094-2022,03.10.2022,03.10.2025,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРЕЛСЕРТИФИКАЦИЯ""",«Первая»,29,51,«Третья»,8,24,,,,75
городская гостиница (отель),"Гостиница ""Хозяюшка"" ИП Шалыгина Г.Д.","Гостиница ""Хозяюшка""",Шалыгина Галина Даниловна,Республика Карелия,100400124645,304100236400059,"186931, Россия, Республика Карелия, г.Костомукша, бульвар им.Лазарева Г.Н.,дом 4",+7(81459) 7-35-35,xozayshka@list.ru,нет,Сычева Любовь Алексеевна,две звезды,093,03.10.2022,10/АА-036/093-2022,03.10.2022,03.10.2025,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРЕЛСЕРТИФИКАЦИЯ""",«Первая»,18,23,«Пятая»,3,8,,,,31
городская гостиница (отель),Отель «Прионежский» ООО «Отель-Сервис»,Отель «Прионежский»,ООО «Отель-Сервис»,Республика Карелия,1001339447,1191001001795,"185035, Республика Карелия, г. Петрозаводск,  ул. Федосовой, дом 46",8 814 276 52 71,info@otel-petrozavodsk.ru,,Милованов Евгений Владимирович,три звезды,0174,13.09.2022,47/2/174-2022,13.09.2022,12.09.2025,"Общество с ограниченной ответственностью ""ОТЕЛЬ-КОНСАЛТ""",Высшая «люкс»,12,24,Высшая «джуниор сюит»,3,6,«Первая»,13,26,56
городская гостиница (отель),Мини-отель «Турист» ООО «Отель-Сервис»,Мини-отель «Турист»,ООО «Отель-Сервис»,Республика Карелия,1001339447,1191001001795,"185035, Республика Карелия, г. Петрозаводск,  ул. Красноармейская, дом 33",8 911 424 97 29,info@otel-petrozavodsk.ru,,Милованов Евгений Владимирович,три звезды,0173,13.09.2022,47/2/173-2022,13.09.2022,12.09.2025,"Общество с ограниченной ответственностью ""ОТЕЛЬ-КОНСАЛТ""",«Первая»,11,22,,,,,,,22
городская гостиница (отель),Гостиница «Петрозаводск» ООО «Отель-Сервис»,Гостиница «Петрозаводск»,ООО «Отель-Сервис»,Республика Карелия,1001339447,1191001001795,"185035, Республика Карелия, г. Петрозаводск, Центр р-н, ул. Красная, дом 28",8 911 400 56 46,info@otel-petrozavodsk.ru,,Милованов Евгений Владимирович,три звезды,0172,13.09.2022,47/2/172-2022,13.09.2022,12.09.2025,"Общество с ограниченной ответственностью ""ОТЕЛЬ-КОНСАЛТ""",«Первая»,38,74,,,,,,,74
городская гостиница (отель),"Гостиница ""Березовая роща"" ООО ""Спорт-Лига""","Гостиница ""Березовая роща""","ООО ""Спорт-Лига""",Республика Карелия,1001130974,1021000530242,"185001,Россия,Республика Карелия, г.Петрозаводск, ул.Калевалы, дом 2",+7(8142) 70-31-69,hotelroscha@yandex.ru,www.hotelroscha.ru,Сычева Любовь Алексеевна,одна звезда,089,13.09.2022,10/АА-036/089-2022,13.09.2022,13.09.2025,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРЕЛСЕРТИФИКАЦИЯ""",«Первая»,9,18,«Вторая»,12,30,,,,48
городская гостиница (отель),Гостиница «Родина» ООО «Маяковский»,Гостиница «Родина»,ООО «Маяковский»,Республика Карелия,1007028180,1211000001024,"186791, Республика Карелия, м.р-н Сортавальский, г.п. Сортавальское, г. Сортавала, ул. Маяковского, д. 28",+7 (911) 967 07 17,rodina.karelia@gmail.com,www.rodina-karelia.ru,Ефипова Дарья Сергеевна,четыре звезды,24-р/2,31.08.2022,АА-145/029-2022,31.08.2022,30.08.2025,"Общество с ограниченной ответственностью ""Ассоциация экспертов туристской индустрии""",Высшая «люкс»,1,2,Высшая «джуниор сюит»,2,8,«Первая»,22,32,42
городская гостиница (отель),"Отель ""Лахти"" ООО ""ЛахтиТур""","Отель ""Лахти""","Общество с ограниченной ответственностью ""ЛахтиТур""",Республика Карелия,1001358217,1221000001441,"185005, Республика Карелия,  г. Петрозаводск, ул. Ригачина, д. 7А",+7(921) 932-63-56,info@lahti.ru,www.lahtitur.ru,Савосина Анна Игоревна,три звезды,Р-127,23.08.2022,77/131/127-2022,23.08.2022,22.08.2025,"Общество с ограниченной ответственностью ""Сателлит Компани""",«Первая»,13,26,,,,,,,26
