vid,polnoe_naimenovanie,socrshenoe_naimenovanie,naimenovanie_ur_litca_ip,region,inn,ogrn_ogrnip,adres,telephon,email,sait,spectialist_po_classificatci,prisvoenay_categoriya,nomer_resheniya_o_prisvoenii_categorii,data_resheniya_o_prisvoenii_categorii,registratcionnyi_nomer_svidetelstva,data_vydachi_svidetelstva,srok_deistviya,acreditovanaya_organizatciya,categoria_1,kol_vo_nomerov_categoria_1,kol_vo_mest_categoria_1,categoria_2,kol_vo_nomerov_categoria_2,kol_vo_mest_categoria_2,categoria_3,kol_vo_nomerov_categoria_3,kol_vo_mest_categoria_3,itogo_nomerov
городская гостиница (отель),"«Белый Снег» ООО ""Белый Снег""",«Белый Снег»,"ООО ""Белый Снег""",Сахалинская область,6501090158,1026500544400,"693008 г. Южно-Сахалинск, ул. Детская 3",8 9147577778,ws@snc.ru,,Папиж Елена Сергеевна,без звёзд,147/07/КЛ,13.09.2022,79/АА-147/07/КЛ-2022,13.09.2022,12.09.2025,"Общество с ограниченной ответственностью ""Центр развития предпринимательства ТПП ЕАО""",«Первая»,14,28,,,,,,,28
городская гостиница (отель),"Гостиница ""ПАНОРАМА"" ООО «Конус»","Гостиница ""ПАНОРАМА""",Общество с ограниченной ответственностью «Конус»,Сахалинская область,6501167435,1066501038185,"693000, Россия, Сахалинская область, город Южно-Сахалинск,  проспект Мира, дом 231",+7(4242) 39-12-61,hotel@panorama65.ru,panorama65.ru,Ефименко Екатерина Владимировна,три звезды,174,20.07.2022,28/АА-69/174-2022,20.07.2022,19.07.2025,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «люкс»,5,5,«Первая»,70,99,,,,104
городская гостиница (отель),"Гостиница ""ИМПЕРИАЛ - 2"" ИП Большакова А.П.","Гостиница ""ИМПЕРИАЛ - 2""",Индивидуальный предприниматель Большакова Анна Петровна,Сахалинская область,651800033809,304651809700022,"694521, Россия, Сахалинская область, Южно-Курильский район,  село Крабозаводское, улица Торговая",+7924488887,fox2187@mail.ru,fox2187@mail.ru,Ефименко Екатерина Владимировна,без звёзд,170,08.07.2022,28/АА-69/170-2022,08.07.2022,07.07.2025,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,2,4,«Пятая»,7,25,,,,29
городская гостиница (отель),"«ТУРИСТ» ЗАО ""Сахалинтурист""",«ТУРИСТ»,Закрытое Акционерное Общество «Сахалинтурист»,Сахалинская область,6501002465,1026500543629,"693010 г. Южно-Сахалинск, ул. Сахалинская д.2",+(4242) 467800,manager@sakhalin-tourist.ru,,Печенина Т.О.,три звезды,Р-144,23.06.2022,77/114/144-2022,23.06.2022,23.06.2025,"Общество с ограниченной ответственностью ""ПрофНадзор""",Высшая «джуниор сюит»,12,20,«Первая»,31,31,,,,51
комплекс апартаментов,"Комплекс апартаментов ""SUNRISE HILL"" ООО ""Сахалин Шале""","Комплекс апартаментов ""SUNRISE HILL""","Общество с ограниченной ответственностью ""Сахалин Шале""",Сахалинская область,6501295765,1176501010157,"693010, Сахалинская область, город Южно-Сахалинск, улица Горный воздух, 3А",+79147403121,info@sunrisehill.ru,,Скороходова Ирина Юрьевна,без звёзд,162,21.02.2022,28/АА-69/162-2022,21.02.2022,20.02.2025,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",Высшая «апартмент»,18,30,Высшая «студия»,12,12,,,,42
городская гостиница (отель),"Гостиница ""Городок"" ИП Рахманова Альбина Васильевна","Гостиница ""Городок""",ИП Рахманова Альбина Васильевна,Сахалинская область,651401111244,322650000000598,"694350, Сахалинская область, Смирныховский район,  поселок городского типа Смирных, улица Ленина, дом 39",+74245241121,gorodok.du7@mail.ru,,Скороходова Ирина Юрьевна,без звёзд,160,07.02.2022,28/АА-69/160-2022,07.02.2022,06.02.2025,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Третья»,7,14,,,,,,,14
хостел,"Хостел ""Альфа"" ИП Абакумов Максим Вадимович","Хостел ""Альфа""",ИП Абакумов Максим Вадимович,Сахалинская область,650405786912,317650100018898,"693014, Сахалинская область, город Южно-Сахалинск,  4-я Заречная улица, дом 28 ""б""",+79294444060,alfa-uprav@yandex.ru,httrs://gost-dom-alfa.business.site/,Ефименко Екатерина Владимировна,без звёзд,159,28.01.2022,28/АА-69/159-2022,28.01.2022,27.01.2025,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,2,5,«Пятая»,20,75,,,,80
хостел,"Хостел ""Странник"" ИП Никоян С.А.","Хостел ""Странник""",Индивидуальный предприниматель Никоян Сергей Арсенович,Сахалинская область,650117969388,314650123300024,"693014, Россия, Сахалинская область, город Южно-Сахалинск,  пл.р. Хомутово, улица 2-я Центральная, дом 31",+79242831333,serg_nikoyan@mail.ru,,Ефименко Екатерина Владимировна,без звёзд,179,30.08.2022,28/АА-69/179-2022,31.08.2022,30.08.2025,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Первая»,1,2,«Пятая»,7,30,,,,32
городская гостиница (отель),"Гостиница ""Звезда"" ИП Кухалашвили Автандил Капитонович","Гостиница ""Звезда""",ИП Кухалашвили Автандил Капитонович,Сахалинская область,651800267405,304651835500090,"694520, Сахалинская область, Южно-Курильский район,  село Малокурильское, улица Спортивная, дом 9",+79621154229,Madona.1961@mail.ru,,Ефименко Екатерина Владимировна,без звёзд,150,28.12.2021,28/АА-69/150-2021,28.12.2021,27.12.2024,"Общество с ограниченной ответственностью ""Экспертно консалтинговый центр Амур-Тест""",«Пятая»,3,6,,,,,,,6
городская гостиница (отель),"Гостиница «Мира Отель» ООО ""РЕНКО-САХ""",Гостиница «Мира Отель»,"ООО ""РЕНКО-САХ""",Сахалинская область,6501167227,1066501036865,"193013, г. Южно-Сахалинск, пр. Мира, д. 255",+7 (4242) 45 45 00,infol@mirahotelsakhalin.com,www.mirahotelsakhalin.com,Ефипова Дарья Сергеевна,три звезды,237-р/2,27.12.2021,АА-022/346-2021,27.12.2021,26.12.2024,"Общество с ограниченной ответственностью ""Эндикон-Эксперт""",«Первая»,84,168,,,,,,,168
