vid,polnoe_naimenovanie,socrshenoe_naimenovanie,naimenovanie_ur_litca_ip,region,inn,ogrn_ogrnip,adres,telephon,email,sait,spectialist_po_classificatci,prisvoenay_categoriya,nomer_resheniya_o_prisvoenii_categorii,data_resheniya_o_prisvoenii_categorii,registratcionnyi_nomer_svidetelstva,data_vydachi_svidetelstva,srok_deistviya,acreditovanaya_organizatciya,categoria_1,kol_vo_nomerov_categoria_1,kol_vo_mest_categoria_1,categoria_2,kol_vo_nomerov_categoria_2,kol_vo_mest_categoria_2,categoria_3,kol_vo_nomerov_categoria_3,kol_vo_mest_categoria_3,itogo_nomerov
хостел,Хостел «Мугур-Аксы» ИП Насык-Доржу А.А.,Хостел «Мугур-Аксы»,ИП Насык-Доржу Аида Анатольевна,Республика Тыва,170103724482,320171900009694,"668020 Республика Тыва, Монгун-Тайгинский р-н, с. Мугур-Аксы, ул. Коммунальная, д. 1","+ 7 (923) 551-67-89, +7 (923) 262-57-86",aida.dorzhu00@mail.ru,,Сафонова Л.В.,без звёзд,941.ЦК,22.08.2022,78/АА-034/750-2022,23.08.2022,22.08.2025,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Пятая»,5,15,,,,,,,15
городская гостиница (отель),Гостиница «Буян Бадыргы» АО «Гостиничный комплекс «Буян-Бадыргы»,Гостиница «Буян Бадыргы»,АО «Гостиничный комплекс «Буян-Бадыргы»,Республика Тыва,1701047217,1101719000250,"667010, Республика Тыва, г. Кызыл, ул. Московская, д.1",+7 (39422) 5-64-60,bbadyrgy_hotel @mail.ru,www.badyrgy.com,Биткулова Л.И.,три звезды,848.ЦК,27.02.2022,78/АА-034/671-2022,28.02.2022,27.02.2025,"Общество с ограниченной ответственностью ""Звезды Отелям""",Высшая «люкс»,2,4,Высшая «студия»,5,10,«Первая»,31,53,67
"загородный отель, туристская база, база отдыха",«Кордон «Самбыл» ФГБУ «Государственный заповедник «Убсунурская котловина»,«Кордон «Самбыл»,ФГБУ «Государственный заповедник «Убсунурская котловина»,Республика Тыва,1707000952,1021700507070,"Республика Тыва, Сут-Хольский район, устье реки Самбыл на 9500 м. северо-западнее от села Алдан-Маадыр",+7 (39422) 5-37-70,ubsunur@yandex.ru,,Сафонова Л.В.,без звёзд,821.ЦК,16.12.2021,78/АА-034/657-2021,17.12.2021,16.12.2024,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Пятая»,2,10,,,,,,,10
городская гостиница (отель),Гостиница «Сут Хол» МАУ «ЦРТ Сут-Хольского кожууна»,Гостиница «Сут Хол»,Муниципального автономного учреждения «Центр развития туризма Сут-Хольского кожууна»,Республика Тыва,1716004093,1171719000672,"668150, Республика Тыва, Сут-Хольский к-н, с. Суг-Аксы, ул. Чогаалчылар, д. 2",+7 (901) 017-83-34,uk.sut-hol@mail.ru,,Сафонова Л.В.,без звёзд,764.ЦК,22.09.2021,78/АА-034/605-2021,23.09.2021,22.09.2024,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Пятая»,4,11,,,,,,,11
"загородный отель, туристская база, база отдыха",База отдыха «Кордон» ФГБУ «Государственный заповедник «Убсунурская котловина»,База отдыха «Кордон»,ФГБУ «Государственный заповедник «Убсунурская котловина»,Республика Тыва,1707000952,1021700507070,"668221, Республика Тыва, Чаа-Хольский район, местечко «Идик-Хончу»",+7 (39422) 5-37-70,ubsunur@yandex.ru,,Сафонова Л.В.,без звёзд,759.ЦК,20.09.2021,78/АА-034/600-2021,21.09.2021,20.09.2024,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Пятая»,2,6,,,,,,,6
"курортный отель, санаторий, дом отдыха, центр отдыха, пансионат",Пансионат «Башкы» ГБОУДО РТ «РЦРДО»,Пансионат «Башкы»,ГБОУДО РТ «РЦРДО»,Республика Тыва,1701050298,1121719000556,"Республика Тыва, Тандинский район, южный берег оз. Дус-Холь",+7 (905) 920-44-55,yntur-tuva@mail.ru,,Сафонова Л.В.,без звёзд,762.ЦК,15.09.2021,78/АА-034/603-2021,16.09.2021,15.09.2024,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Пятая»,6,30,,,,,,,30
"курортный отель, санаторий, дом отдыха, центр отдыха, пансионат",Пансионат «Родник» ООО «Кристалл Плюс»,Пансионат «Родник»,ООО «Кристалл Плюс»,Республика Тыва,1700000914,1211700000291,"668210, Республика Тыва, Тандинский р-н, южный берег Озера Дус-Холь",+7 (923) 265-99-37,d.borbak17@mail.ru,,Сафонова Л.В.,без звёзд,753.ЦК,07.09.2021,78/АА-034/596-2021,08.09.2021,07.09.2024,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Пятая»,10,40,,,,,,,40
городская гостиница (отель),Гостиница «Енисей»  ООО «НОРБУ»,Гостиница «Енисей»,ООО «НОРБУ»,Республика Тыва,1714006881,11817190000682,"Республика Тыва, Улуг-Хемский  р-н, г. Шагонар, ул. Дружбы, д. 59А-102",+7 923 265 99 37,borbak97@mai.ru,,,без звёзд,615.ЦК,31.08.2020,78/АА-034/480-2020,31.08.2020,30.08.2023,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Пятая»,3,9,,,,,,,9
"(До 31.12.2020) курортный отель, база отдыха, туристская база, центр отдыха, туристская деревня (деревня отдыха), дом отдыха, пансионат и другие аналогичные средства размещения",Эколого-просветительская база отдыха «Алан-Тос»  Федерального государственного бюджетного учреждения «Государственный природный заповедник «Азас»,Эколого-просветительская база отдыха «Алан-Тос»,Федерального государственного бюджетного учреждения «Государственный природный заповедник «Азас»,Республика Тыва,1703001000,1021700552950,"668530, Республика Тыва, Тоджинский район, местечко «Красный камень», «База «Алан-Тос»",8 (394-50)2-12-99,azastuva@mail.ru,www. zapovednik-azas.ru,,без звёзд,609.ЦК,31.08.2020,78/АА-034/474-2020,31.08.2020,30.08.2023,"Общество с ограниченной ответственностью ""Звезды Отелям""",«Пятая»,8,32,,,,,,,32
"(До 31.12.2020) дома отдыха, пансионаты и другие аналогичные средства размещения",Сезонный пансионат «Геолог» на озере» Дус-Холь» ООО «Тувинская геологоразведочная экспедиция,Сезонный пансионат «Геолог» на озере» Дус-Холь»,ООО «Тувинская геологоразведочная экспедиция,Республика Тыва,1701054905,1141719001148,"668312, Республика Тува, Тандинский район, озеро Дус-Холь",,,,,без звёзд,449.ЦК,26.07.2019,78/16/331-2019,29.07.2019,28.07.2022,"Общество с ограниченной ответственностью ""Звезды Отелям""",,,,,,,,,,0
