vid,polnoe_naimenovanie,socrshenoe_naimenovanie,naimenovanie_ur_litca_ip,region,inn,ogrn_ogrnip,adres,telephon,email,sait,spectialist_po_classificatci,prisvoenay_categoriya,nomer_resheniya_o_prisvoenii_categorii,data_resheniya_o_prisvoenii_categorii,registratcionnyi_nomer_svidetelstva,data_vydachi_svidetelstva,srok_deistviya,acreditovanaya_organizatciya,categoria_1,kol_vo_nomerov_categoria_1,kol_vo_mest_categoria_1,categoria_2,kol_vo_nomerov_categoria_2,kol_vo_mest_categoria_2,categoria_3,kol_vo_nomerov_categoria_3,kol_vo_mest_categoria_3,itogo_nomerov
городская гостиница (отель),Гостиница «Таланга» ООО «Сибирь»,Гостиница «Таланга»,Общество с ограниченной ответственностью «Сибирь»,Ямало-Ненецкий автономный округ,8913009209,1088913000791,"629830, Ямало-Ненецкий автономный округ, г. Губкинский, мкр.2, дом 57",+7 (34936) 321 85,talanga22@bk.ru,talanga.ru,Литовченко Надежда Сергеевна,без звёзд,1633,22.10.2022,77/АА-68/1633-2022,22.10.2022,21.10.2025,"Автономная некоммерческая организация ""Центр развития социального и культурно-познавательного туризма""",Высшая «джуниор сюит»,1,2,«Первая»,13,13,«Вторая»,1,2,17
хостел,«Гостевой дом «Бумеранг» ООО «Единый Сервисный Центр»,Гостевой дом «Бумеранг»,Общество с ограниченной ответственностью «Единый Сервисный Центр»,Ямало-Ненецкий автономный округ,8913007385,1068913007668,"629830, Ямало-Ненецкий автономный округ, г. Губкинский, Магистральная ул., тер. Панель 6, База 0017, стр. 1",+7 (908) 852 23 52,Ooo-esc2006@mail.ru,,Манцерова Марина Александровна,без звёзд,2088,17.09.2022,77/АА-110/2088-2022,17.09.2022,16.09.2025,"Общество с ограниченной ответственностью ""Управляющая компания ""Отель менеджмент""",«Пятая»,11,26,,,,,,,26
городская гостиница (отель),"ГОСТИНИЦА\t«АМАКС Полярная звезда»\tАО ""Эгирея""",ГОСТИНИЦА\t«АМАКС Полярная звезда»\t,"АО ""Эгирея""",Ямало-Ненецкий автономный округ,8904091990,1218900003145,"629306, Ямало-Ненецкий автономный округ, г. Новый Уренгой, пр. Ленинградский, д. 15Б",+7 349 424-11-60,bron-nur@amaks-hotels.ru,nurengoj.amaks-hotels.ru,Батьков К.В.,три звезды,1200,26.07.2022,78/АА-46/1200-2022,26.07.2022,25.07.2025,"Общество с ограниченной ответственностью ""Бюро классификации и экспертизы""",Высшая «джуниор сюит»,7,7,«Первая»,194,380,,,,387
городская гостиница (отель),Гостиница «Гранд» ООО «ГРАНД»,Гостиница «Гранд»,Общество с ограниченной ответственностью «ГРАНД»,Чувашская Республика - Чувашия,2130173128,1162130059233,"428024, Чувашская Республика, город Чебоксары, проспект Мира, дом 84",+7 (8352) 22 29 09,grand-markiza@mail.ru,grand-markiza.ru,,две звезды,356,12.11.2020,77/АА-68/356-2020,13.11.2020,11.11.2023,"Автономная некоммерческая организация ""Центр развития социального и культурно-познавательного туризма""",«Первая»,11,21,«Вторая»,2,4,,,,25
городская гостиница (отель),Гостиница «Надежда» ООО «Надежда»,Гостиница «Надежда»,ООО «Надежда»,Воронежская область,3615003837,1063628012051,"396892, Воронежская обл.Нижнедевицкий район, село Верхнее Турово ул. Мира 122Б",8(952)54-13-541,Khar-denis@yandex.ru,,,без звёзд,143,30.12.2020,143,30.12.2020,29.12.2023,Общество с ограниченной ответственностью «АСТЕЛС»,«Пятая»,14,42,,,,,,,42
городская гостиница (отель),Гостиница «Домашняя» ИП Геринг Р.А.,Гостиница «Домашняя»,ИП Геринг Руслан Адамович,Ямало-Ненецкий автономный округ,890103400810,319890100012406,"629008, Ямало-Ненецкий автономный округ, г. Салехард, ул. Василия Подшибякина, д. 49а",+7 (34922) 3-17-22,gering.rus@yandex.ru,otel-home.ru,Самойлик В.В.,без звёзд,Р-6-2021,25.03.2022,72/АА-005-2022/6-2022,25.03.2022,24.03.2025,"Общество с ограниченной ответственностью ""Отельер-Про""",«Пятая»,8,20,,,,,,,20
городская гостиница (отель),"Гостиница ""Гостевой дом Северный рай"" ООО ""Газовик ТС""","Гостиница ""Гостевой дом Северный рай""","ООО ""Газовик ТС""",Ямало-Ненецкий автономный округ,8911028291,1138911000876,"629850, ЯНАО, Пуровский р-н., г. Тарко-Сале, ул. Промышленная, д. 2а",8 922 090 01 11,Lian.gazovik@yandex.ru,,Милованов Евгений Владимирович,без звёзд,0069,23.03.2022,47/2/069-2022,23.03.2022,22.03.2025,"Общество с ограниченной ответственностью ""ОТЕЛЬ-КОНСАЛТ""",«Четвертая»,9,31,,,,,,,31
хостел,Хостел «Tarctica» ООО «АСТ»,Хостел «Tarctica»,ООО «Арктические Строительные Технологии»,Ямало-Ненецкий автономный округ,8911030332,1198901000605,"629850, Ямало-Ненецкий автономный округ, Пуровский район, г. Тарко-Сале, р-н Московской экспедиции, 6, стр. 2",+7 (928) 519-53-33,astyanao@mail.ru,,Самойлик В.В.,без звёзд,Р-158-2022,21.02.2022,72/АА-001-2022/158-2022,21.02.2022,20.02.2025,Общество с ограниченной ответственностью «Отельер»,«Пятая»,14,35,,,,,,,35
городская гостиница (отель),Гостиница «На Обской» ИП Лагунов Валерий Викторович,Гостиница «На Обской»,ИП Лагунов Валерий Викторович,Ямало-Ненецкий автономный округ,890101171001,319890100007411,"629003, Ямало-Ненецкий автономный округ, г. Салехард, ул. Обская, д. 18",+7 (908) 864-26-67,lagunovav@mail.ru,naobskoi.ru,Самойлик В.В.,без звёзд,Р-154-2022,01.02.2022,72/АА-001-2022/154-2022,01.02.2022,31.01.2025,Общество с ограниченной ответственностью «Отельер»,«Пятая»,6,15,,,,,,,15
городская гостиница (отель),Гостиница «Хамелеон» ИП Шадрина Светлана Викторовна,Гостиница «Хамелеон»,ИП Шадрина Светлана Викторовна,Ямало-Ненецкий автономный округ,891301014167,311891306900011,"629840, Ямало-Ненецкий автономный округ, Пуровский р-н, п. Пурпе, ул. Молодежная, 15Б",+7 (922) 462-05-02,79026288219@yandex.ru,,Самойлик В.В.,без звёзд,Р-153-2022,31.01.2022,72/АА-001-2022/153-2022,31.01.2022,30.01.2025,Общество с ограниченной ответственностью «Отельер»,«Пятая»,11,29,,,,,,,29
